,pos,sentence_idx,,word,tag,,,,,,,,,,,,,,
8507,IN,387,,from,O,,,,,,,,,,,,,,
8508,NNP,387,,Iran,B-geo,,,,,,,,,,,,,,
8509,VBZ,387,,is,O,,,,,,,,,,,,,,
8510,VBN,387,,expected,O,,,,,,,,,,,,,,
8511,TO,387,,to,O,,,,,,,,,,,,,,
8512,VB,387,,begin,O,,,,,,,,,,,,,,
8513,VBG,387,,flowing,O,,,,,,,,,,,,,,
8514,IN,387,,into,O,,,,,,,,,,,,,,
8515,NNP,387,,Georgia,B-geo,,,,,,,,,,,,,,
8516,VBG,387,,beginning,O,,,,,,,,,,,,,,
8517,NNP,387,,Sunday,B-tim,,,,,,,,,,,,,,
8518,CC,387,,or,O,,,,,,,,,,,,,,
8519,",",387,,",",O,,,,,,,,,,,,,,
8520,IN,387,,at,O,,,,,,,,,,,,,,
8521,DT,387,,the,O,,,,,,,,,,,,,,
8522,JJS,387,,latest,O,,,,,,,,,,,,,,
8523,",",387,,",",O,,,,,,,,,,,,,,
8524,NNP,387,,Monday,B-tim,,,,,,,,,,,,,,
8525,.,387,,.,O,,,,,,,,,,,,,,
8526,NNS,388,,Residents,O,,,,,,,,,,,,,,
8527,IN,388,,in,O,,,,,,,,,,,,,,
8528,DT,388,,the,O,,,,,,,,,,,,,,
8529,JJ,388,,former,O,,,,,,,,,,,,,,
8530,JJ,388,,Soviet,O,,,,,,,,,,,,,,
8531,NN,388,,republic,O,,,,,,,,,,,,,,
8532,VBP,388,,have,O,,,,,,,,,,,,,,
8533,VBN,388,,been,O,,,,,,,,,,,,,,
8534,VBG,388,,enduring,O,,,,,,,,,,,,,,
8535,JJ,388,,freezing,O,,,,,,,,,,,,,,
8536,NN,388,,weather,O,,,,,,,,,,,,,,
8537,IN,388,,with,O,,,,,,,,,,,,,,
8538,JJ,388,,limited,O,,,,,,,,,,,,,,
8539,NNS,388,,supplies,O,,,,,,,,,,,,,,
8540,IN,388,,after,O,,,,,,,,,,,,,,
8541,NNS,388,,explosions,O,,,,,,,,,,,,,,
8542,IN,388,,on,O,,,,,,,,,,,,,,
8543,NNS,388,,pipelines,O,,,,,,,,,,,,,,
8544,VBG,388,,delivering,O,,,,,,,,,,,,,,
8545,JJ,388,,Russian,B-gpe,,,,,,,,,,,,,,
8546,JJ,388,,natural,O,,,,,,,,,,,,,,
8547,NN,388,,gas,O,,,,,,,,,,,,,,
8548,.,388,,.,O,,,,,,,,,,,,,,
8549,JJ,389,,Russian,B-gpe,,,,,,,,,,,,,,
8550,NNS,389,,authorities,O,,,,,,,,,,,,,,
8551,VBP,389,,deny,O,,,,,,,,,,,,,,
8552,JJ,389,,Georgian,B-gpe,,,,,,,,,,,,,,
8553,NNS,389,,charges,O,,,,,,,,,,,,,,
8554,IN,389,,that,O,,,,,,,,,,,,,,
8555,PRP,389,,they,O,,,,,,,,,,,,,,
8556,RB,389,,deliberately,O,,,,,,,,,,,,,,
8557,VBD,389,,cut,O,,,,,,,,,,,,,,
8558,NNS,389,,supplies,O,,,,,,,,,,,,,,
8559,",",389,,",",O,,,,,,,,,,,,,,
8560,CC,389,,and,O,,,,,,,,,,,,,,
8561,VBP,389,,insist,O,,,,,,,,,,,,,,
8562,DT,389,,the,O,,,,,,,,,,,,,,
8563,NNS,389,,pipelines,O,,,,,,,,,,,,,,
8564,VBD,389,,were,O,,,,,,,,,,,,,,
8565,VBN,389,,sabotaged,O,,,,,,,,,,,,,,
8566,.,389,,.,O,,,,,,,,,,,,,,
8567,NNS,390,,Repairs,O,,,,,,,,,,,,,,
8568,VBP,390,,are,O,,,,,,,,,,,,,,
8569,JJ,390,,due,O,,,,,,,,,,,,,,
8570,TO,390,,to,O,,,,,,,,,,,,,,
8571,VB,390,,be,O,,,,,,,,,,,,,,
8572,VBN,390,,completed,O,,,,,,,,,,,,,,
8573,IN,390,,by,O,,,,,,,,,,,,,,
8574,NNP,390,,Sunday,B-tim,,,,,,,,,,,,,,
8575,.,390,,.,O,,,,,,,,,,,,,,
8576,NNP,391,,Georgia,B-gpe,,,,,,,,,,,,,,
8577,VBZ,391,,is,O,,,,,,,,,,,,,,
8578,RB,391,,heavily,O,,,,,,,,,,,,,,
8579,JJ,391,,dependent,O,,,,,,,,,,,,,,
8580,IN,391,,on,O,,,,,,,,,,,,,,
8581,JJ,391,,Russian,B-gpe,,,,,,,,,,,,,,
8582,JJ,391,,natural,O,,,,,,,,,,,,,,
8583,NN,391,,gas,O,,,,,,,,,,,,,,
8584,.,391,,.,O,,,,,,,,,,,,,,
8585,NNP,392,,President,B-per,,,,,,,,,,,,,,
8586,NNP,392,,Saakashvili,I-per,,,,,,,,,,,,,,
8587,VBZ,392,,says,O,,,,,,,,,,,,,,
8588,DT,392,,the,O,,,,,,,,,,,,,,
8589,NN,392,,agreement,O,,,,,,,,,,,,,,
8590,IN,392,,with,O,,,,,,,,,,,,,,
8591,NNP,392,,Iran,B-geo,,,,,,,,,,,,,,
8592,VBZ,392,,shows,O,,,,,,,,,,,,,,
8593,PRP$,392,,his,O,,,,,,,,,,,,,,
8594,NN,392,,country,O,,,,,,,,,,,,,,
8595,VBZ,392,,has,O,,,,,,,,,,,,,,
8596,JJ,392,,alternative,O,,,,,,,,,,,,,,
8597,NNS,392,,sources,O,,,,,,,,,,,,,,
8598,.,392,,.,O,,,,,,,,,,,,,,
8599,NNS,393,,Millions,O,,,,,,,,,,,,,,
8600,IN,393,,of,O,,,,,,,,,,,,,,
8601,NNS,393,,Georgians,B-gpe,,,,,,,,,,,,,,
8602,VBP,393,,have,O,,,,,,,,,,,,,,
8603,RB,393,,also,O,,,,,,,,,,,,,,
8604,VBN,393,,been,O,,,,,,,,,,,,,,
8605,IN,393,,without,O,,,,,,,,,,,,,,
8606,NN,393,,electricity,O,,,,,,,,,,,,,,
8607,IN,393,,because,O,,,,,,,,,,,,,,
8608,IN,393,,of,O,,,,,,,,,,,,,,
8609,DT,393,,a,O,,,,,,,,,,,,,,
8610,NN,393,,breakdown,O,,,,,,,,,,,,,,
8611,IN,393,,of,O,,,,,,,,,,,,,,
8612,DT,393,,a,O,,,,,,,,,,,,,,
8613,NN,393,,unit,O,,,,,,,,,,,,,,
8614,IN,393,,at,O,,,,,,,,,,,,,,
8615,DT,393,,a,O,,,,,,,,,,,,,,
8616,NN,393,,power,O,,,,,,,,,,,,,,
8617,NN,393,,station,O,,,,,,,,,,,,,,
8618,",",393,,",",O,,,,,,,,,,,,,,
8619,RB,393,,as,O,,,,,,,,,,,,,,
8620,RB,393,,well,O,,,,,,,,,,,,,,
8621,IN,393,,as,O,,,,,,,,,,,,,,
8622,JJ,393,,downed,O,,,,,,,,,,,,,,
8623,NN,393,,power,O,,,,,,,,,,,,,,
8624,NNS,393,,lines,O,,,,,,,,,,,,,,
8625,.,393,,.,O,,,,,,,,,,,,,,
8626,NNP,394,,Peru,B-gpe,,,,,,,,,,,,,,
8627,POS,394,,'s,O,,,,,,,,,,,,,,
8628,JJ,394,,former,O,,,,,,,,,,,,,,
8629,NN,394,,President,O,,,,,,,,,,,,,,
8630,",",394,,",",O,,,,,,,,,,,,,,
8631,NNP,394,,Alberto,B-per,,,,,,,,,,,,,,
8632,NNP,394,,Fujimori,I-per,,,,,,,,,,,,,,
8633,",",394,,",",O,,,,,,,,,,,,,,
8634,VBZ,394,,has,O,,,,,,,,,,,,,,
8635,VBN,394,,told,O,,,,,,,,,,,,,,
8636,NNS,394,,authorities,O,,,,,,,,,,,,,,
8637,PRP,394,,he,O,,,,,,,,,,,,,,
8638,VBZ,394,,is,O,,,,,,,,,,,,,,
8639,VBG,394,,trying,O,,,,,,,,,,,,,,
8640,TO,394,,to,O,,,,,,,,,,,,,,
8641,VB,394,,form,O,,,,,,,,,,,,,,
8642,DT,394,,a,O,,,,,,,,,,,,,,
8643,JJ,394,,political,O,,,,,,,,,,,,,,
8644,NN,394,,alliance,O,,,,,,,,,,,,,,
8645,TO,394,,to,O,,,,,,,,,,,,,,
8646,VB,394,,support,O,,,,,,,,,,,,,,
8647,PRP$,394,,his,O,,,,,,,,,,,,,,
8648,NN,394,,bid,O,,,,,,,,,,,,,,
8649,TO,394,,to,O,,,,,,,,,,,,,,
8650,VB,394,,run,O,,,,,,,,,,,,,,
8651,IN,394,,in,O,,,,,,,,,,,,,,
8652,JJ,394,,next,O,,,,,,,,,,,,,,
8653,NNP,394,,April,B-tim,,,,,,,,,,,,,,
8654,POS,394,,'s,O,,,,,,,,,,,,,,
8655,JJ,394,,presidential,O,,,,,,,,,,,,,,
8656,NN,394,,election,O,,,,,,,,,,,,,,
8657,.,394,,.,O,,,,,,,,,,,,,,
8658,IN,395,,In,O,,,,,,,,,,,,,,
8659,DT,395,,a,O,,,,,,,,,,,,,,
8660,NN,395,,visit,O,,,,,,,,,,,,,,
8661,TO,395,,to,O,,,,,,,,,,,,,,
8662,DT,395,,the,O,,,,,,,,,,,,,,
8663,JJ,395,,Peruvian,B-gpe,,,,,,,,,,,,,,
8664,NN,395,,consulate,O,,,,,,,,,,,,,,
8665,IN,395,,in,O,,,,,,,,,,,,,,
8666,NNP,395,,Tokyo,B-geo,,,,,,,,,,,,,,
8667,NNP,395,,Wednesday,B-tim,,,,,,,,,,,,,,
8668,",",395,,",",O,,,,,,,,,,,,,,
8669,NNP,395,,Mr.,B-per,,,,,,,,,,,,,,
8670,NNP,395,,Fujimori,I-per,,,,,,,,,,,,,,
8671,VBD,395,,had,O,,,,,,,,,,,,,,
8672,PRP$,395,,his,O,,,,,,,,,,,,,,
8673,NN,395,,signature,O,,,,,,,,,,,,,,
8674,VBD,395,,validated,O,,,,,,,,,,,,,,
8675,IN,395,,on,O,,,,,,,,,,,,,,
8676,DT,395,,a,O,,,,,,,,,,,,,,
8677,NN,395,,document,O,,,,,,,,,,,,,,
8678,VBG,395,,joining,O,,,,,,,,,,,,,,
8679,PRP$,395,,his,O,,,,,,,,,,,,,,
8680,NNP,395,,Si,B-org,,,,,,,,,,,,,,
8681,NNP,395,,Cumple,I-org,,,,,,,,,,,,,,
8682,NN,395,,party,O,,,,,,,,,,,,,,
8683,IN,395,,with,O,,,,,,,,,,,,,,
8684,CD,395,,two,O,,,,,,,,,,,,,,
8685,JJ,395,,other,O,,,,,,,,,,,,,,
8686,JJ,395,,political,O,,,,,,,,,,,,,,
8687,NNS,395,,parties,O,,,,,,,,,,,,,,
8688,.,395,,.,O,,,,,,,,,,,,,,
8689,DT,396,,The,O,,,,,,,,,,,,,,
8690,NN,396,,consulate,O,,,,,,,,,,,,,,
8691,VBD,396,,said,O,,,,,,,,,,,,,,
8692,PRP,396,,it,O,,,,,,,,,,,,,,
8693,VBD,396,,notarized,O,,,,,,,,,,,,,,
8694,PRP$,396,,his,O,,,,,,,,,,,,,,
8695,NN,396,,signature,O,,,,,,,,,,,,,,
8696,",",396,,",",O,,,,,,,,,,,,,,
8697,CC,396,,but,O,,,,,,,,,,,,,,
8698,RB,396,,not,O,,,,,,,,,,,,,,
8699,DT,396,,the,O,,,,,,,,,,,,,,
8700,NNS,396,,contents,O,,,,,,,,,,,,,,
8701,IN,396,,of,O,,,,,,,,,,,,,,
8702,DT,396,,the,O,,,,,,,,,,,,,,
8703,NN,396,,document,O,,,,,,,,,,,,,,
8704,.,396,,.,O,,,,,,,,,,,,,,
8705,DT,397,,The,O,,,,,,,,,,,,,,
8706,JJ,397,,disgraced,O,,,,,,,,,,,,,,
8707,NN,397,,ex-president,O,,,,,,,,,,,,,,
8708,CC,397,,and,O,,,,,,,,,,,,,,
8709,NN,397,,son,O,,,,,,,,,,,,,,
8710,IN,397,,of,O,,,,,,,,,,,,,,
8711,JJ,397,,Japanese,B-gpe,,,,,,,,,,,,,,
8712,NNS,397,,parents,O,,,,,,,,,,,,,,
8713,VBD,397,,fled,O,,,,,,,,,,,,,,
8714,TO,397,,to,O,,,,,,,,,,,,,,
8715,NNP,397,,Japan,B-geo,,,,,,,,,,,,,,
8716,IN,397,,in,O,,,,,,,,,,,,,,
8717,CD,397,,2000,B-tim,,,,,,,,,,,,,,
8718,",",397,,",",O,,,,,,,,,,,,,,
8719,WRB,397,,where,O,,,,,,,,,,,,,,
8720,PRP,397,,he,O,,,,,,,,,,,,,,
8721,VBD,397,,was,O,,,,,,,,,,,,,,
8722,VBN,397,,granted,O,,,,,,,,,,,,,,
8723,NN,397,,citizenship,O,,,,,,,,,,,,,,
8724,.,397,,.,O,,,,,,,,,,,,,,
8725,DT,398,,The,O,,,,,,,,,,,,,,
8726,VBN,398,,exiled,O,,,,,,,,,,,,,,
8727,NN,398,,president,O,,,,,,,,,,,,,,
8728,VBZ,398,,is,O,,,,,,,,,,,,,,
8729,VBN,398,,wanted,O,,,,,,,,,,,,,,
8730,IN,398,,in,O,,,,,,,,,,,,,,
8731,NNP,398,,Peru,B-geo,,,,,,,,,,,,,,
8732,TO,398,,to,O,,,,,,,,,,,,,,
8733,VB,398,,face,O,,,,,,,,,,,,,,
8734,NNS,398,,charges,O,,,,,,,,,,,,,,
8735,IN,398,,of,O,,,,,,,,,,,,,,
8736,NN,398,,corruption,O,,,,,,,,,,,,,,
8737,CC,398,,and,O,,,,,,,,,,,,,,
8738,JJ,398,,human,O,,,,,,,,,,,,,,
8739,NNS,398,,rights,O,,,,,,,,,,,,,,
8740,NNS,398,,abuses,O,,,,,,,,,,,,,,
8741,VBN,398,,related,O,,,,,,,,,,,,,,
8742,IN,398,,to,O,,,,,,,,,,,,,,
8743,DT,398,,the,O,,,,,,,,,,,,,,
8744,NN,398,,death,O,,,,,,,,,,,,,,
8745,NN,398,,squad,O,,,,,,,,,,,,,,
8746,NNS,398,,murders,O,,,,,,,,,,,,,,
8747,IN,398,,of,O,,,,,,,,,,,,,,
8748,CD,398,,25,O,,,,,,,,,,,,,,
8749,NNS,398,,people,O,,,,,,,,,,,,,,
8750,.,398,,.,O,,,,,,,,,,,,,,
8751,NNP,399,,Mr.,B-per,,,,,,,,,,,,,,
8752,NNP,399,,Fujimori,I-per,,,,,,,,,,,,,,
8753,",",399,,",",O,,,,,,,,,,,,,,
8754,NNP,399,,Peru,B-geo,,,,,,,,,,,,,,
8755,POS,399,,'s,O,,,,,,,,,,,,,,
8756,JJ,399,,hard-line,O,,,,,,,,,,,,,,
8757,NN,399,,ruler,O,,,,,,,,,,,,,,
8758,IN,399,,from,O,,,,,,,,,,,,,,
8759,CD,399,,1990,B-tim,,,,,,,,,,,,,,
8760,IN,399,,to,O,,,,,,,,,,,,,,
8761,CD,399,,2000,B-tim,,,,,,,,,,,,,,
8762,",",399,,",",O,,,,,,,,,,,,,,
8763,VBZ,399,,has,O,,,,,,,,,,,,,,
8764,VBN,399,,denied,O,,,,,,,,,,,,,,
8765,DT,399,,the,O,,,,,,,,,,,,,,
8766,NNS,399,,charges,O,,,,,,,,,,,,,,
8767,",",399,,",",O,,,,,,,,,,,,,,
8768,VBG,399,,calling,O,,,,,,,,,,,,,,
8769,PRP,399,,them,O,,,,,,,,,,,,,,
8770,RB,399,,politically,O,,,,,,,,,,,,,,
8771,JJ,399,,motivated,O,,,,,,,,,,,,,,
8772,.,399,,.,O,,,,,,,,,,,,,,
8773,NNP,400,,Tokyo,B-gpe,,,,,,,,,,,,,,
8774,VBZ,400,,has,O,,,,,,,,,,,,,,
8775,VBN,400,,refused,O,,,,,,,,,,,,,,
8776,NNS,400,,requests,O,,,,,,,,,,,,,,
8777,IN,400,,from,O,,,,,,,,,,,,,,
8778,NNP,400,,Lima,B-gpe,,,,,,,,,,,,,,
8779,IN,400,,for,O,,,,,,,,,,,,,,
8780,PRP$,400,,his,O,,,,,,,,,,,,,,
8781,NN,400,,extradition,O,,,,,,,,,,,,,,
8782,.,400,,.,O,,,,,,,,,,,,,,
8783,DT,401,,The,O,,,,,,,,,,,,,,
8784,JJ,401,,British,B-gpe,,,,,,,,,,,,,,
8785,NN,401,,Embassy,O,,,,,,,,,,,,,,
8786,IN,401,,in,O,,,,,,,,,,,,,,
8787,NNP,401,,Sudan,B-geo,,,,,,,,,,,,,,
8788,POS,401,,'s,O,,,,,,,,,,,,,,
8789,NN,401,,capital,O,,,,,,,,,,,,,,
8790,VBZ,401,,has,O,,,,,,,,,,,,,,
8791,VBN,401,,re-opened,O,,,,,,,,,,,,,,
8792,TO,401,,to,O,,,,,,,,,,,,,,
8793,DT,401,,the,O,,,,,,,,,,,,,,
8794,NN,401,,public,O,,,,,,,,,,,,,,
8795,",",401,,",",O,,,,,,,,,,,,,,
8796,CD,401,,four,O,,,,,,,,,,,,,,
8797,NNS,401,,days,O,,,,,,,,,,,,,,
8798,IN,401,,after,O,,,,,,,,,,,,,,
8799,PRP,401,,it,O,,,,,,,,,,,,,,
8800,VBD,401,,was,O,,,,,,,,,,,,,,
8801,VBN,401,,closed,O,,,,,,,,,,,,,,
8802,IN,401,,because,O,,,,,,,,,,,,,,
8803,IN,401,,of,O,,,,,,,,,,,,,,
8804,DT,401,,a,O,,,,,,,,,,,,,,
8805,JJ,401,,possible,O,,,,,,,,,,,,,,
8806,JJ,401,,terrorist,O,,,,,,,,,,,,,,
8807,NN,401,,threat,O,,,,,,,,,,,,,,
8808,.,401,,.,O,,,,,,,,,,,,,,
8809,DT,402,,The,O,,,,,,,,,,,,,,
8810,NN,402,,embassy,O,,,,,,,,,,,,,,
8811,VBD,402,,said,O,,,,,,,,,,,,,,
8812,IN,402,,in,O,,,,,,,,,,,,,,
8813,DT,402,,a,O,,,,,,,,,,,,,,
8814,NN,402,,statement,O,,,,,,,,,,,,,,
8815,NNP,402,,Thursday,B-tim,,,,,,,,,,,,,,
8816,IN,402,,that,O,,,,,,,,,,,,,,
8817,``,402,,"""",O,,,,,,,,,,,,,,
8818,JJ,402,,additional,O,,,,,,,,,,,,,,
8819,NN,402,,security,O,,,,,,,,,,,,,,
8820,``,402,,"""",O,,,,,,,,,,,,,,
8821,VBZ,402,,has,O,,,,,,,,,,,,,,
8822,VBN,402,,allowed,O,,,,,,,,,,,,,,
8823,PRP,402,,it,O,,,,,,,,,,,,,,
8824,TO,402,,to,O,,,,,,,,,,,,,,
8825,VB,402,,resume,O,,,,,,,,,,,,,,
8826,JJ,402,,normal,O,,,,,,,,,,,,,,
8827,NN,402,,consular,O,,,,,,,,,,,,,,
8828,CC,402,,and,O,,,,,,,,,,,,,,
8829,NN,402,,visa,O,,,,,,,,,,,,,,
8830,NNS,402,,services,O,,,,,,,,,,,,,,
8831,.,402,,.,O,,,,,,,,,,,,,,
8832,DT,403,,The,O,,,,,,,,,,,,,,
8833,NN,403,,statement,O,,,,,,,,,,,,,,
8834,RB,403,,also,O,,,,,,,,,,,,,,
8835,VBD,403,,thanked,O,,,,,,,,,,,,,,
8836,DT,403,,the,O,,,,,,,,,,,,,,
8837,JJ,403,,Sudanese,B-gpe,,,,,,,,,,,,,,
8838,NN,403,,government,O,,,,,,,,,,,,,,
8839,IN,403,,for,O,,,,,,,,,,,,,,
8840,PRP$,403,,its,O,,,,,,,,,,,,,,
8841,NN,403,,cooperation,O,,,,,,,,,,,,,,
8842,.,403,,.,O,,,,,,,,,,,,,,
8843,RBR,404,,Earlier,O,,,,,,,,,,,,,,
8844,DT,404,,this,O,,,,,,,,,,,,,,
8845,NN,404,,week,O,,,,,,,,,,,,,,
8846,",",404,,",",O,,,,,,,,,,,,,,
8847,DT,404,,the,O,,,,,,,,,,,,,,
8848,NN,404,,government,O,,,,,,,,,,,,,,
8849,VBD,404,,said,O,,,,,,,,,,,,,,
8850,PRP,404,,it,O,,,,,,,,,,,,,,
8851,VBD,404,,had,O,,,,,,,,,,,,,,
8852,VBN,404,,broken,O,,,,,,,,,,,,,,
8853,RP,404,,up,O,,,,,,,,,,,,,,
8854,DT,404,,a,O,,,,,,,,,,,,,,
8855,NN,404,,plot,O,,,,,,,,,,,,,,
8856,TO,404,,to,O,,,,,,,,,,,,,,
8857,VB,404,,attack,O,,,,,,,,,,,,,,
8858,JJ,404,,several,O,,,,,,,,,,,,,,
8859,JJ,404,,Western,O,,,,,,,,,,,,,,
8860,JJ,404,,diplomatic,O,,,,,,,,,,,,,,
8861,NNS,404,,missions,O,,,,,,,,,,,,,,
8862,IN,404,,in,O,,,,,,,,,,,,,,
8863,DT,404,,the,O,,,,,,,,,,,,,,
8864,NN,404,,capital,O,,,,,,,,,,,,,,
8865,",",404,,",",O,,,,,,,,,,,,,,
8866,NNP,404,,Khartoum,B-geo,,,,,,,,,,,,,,
8867,.,404,,.,O,,,,,,,,,,,,,,
8868,DT,405,,The,O,,,,,,,,,,,,,,
8869,NN,405,,state,O,,,,,,,,,,,,,,
8870,NN,405,,news,O,,,,,,,,,,,,,,
8871,NN,405,,agency,O,,,,,,,,,,,,,,
8872,VBD,405,,reported,O,,,,,,,,,,,,,,
8873,IN,405,,that,O,,,,,,,,,,,,,,
8874,NNS,405,,police,O,,,,,,,,,,,,,,
8875,VBD,405,,had,O,,,,,,,,,,,,,,
8876,VBN,405,,arrested,O,,,,,,,,,,,,,,
8877,CD,405,,eight,O,,,,,,,,,,,,,,
8878,JJ,405,,Sudanese,B-gpe,,,,,,,,,,,,,,
8879,NNS,405,,men,O,,,,,,,,,,,,,,
8880,CC,405,,and,O,,,,,,,,,,,,,,
8881,VBN,405,,confiscated,O,,,,,,,,,,,,,,
8882,NNS,405,,arms,O,,,,,,,,,,,,,,
8883,CC,405,,and,O,,,,,,,,,,,,,,
8884,NNS,405,,explosives,O,,,,,,,,,,,,,,
8885,.,405,,.,O,,,,,,,,,,,,,,
8886,DT,406,,The,O,,,,,,,,,,,,,,
8887,JJ,406,,British,B-gpe,,,,,,,,,,,,,,
8888,NN,406,,Embassy,O,,,,,,,,,,,,,,
8889,VBZ,406,,has,O,,,,,,,,,,,,,,
8890,VBN,406,,advised,O,,,,,,,,,,,,,,
8891,JJ,406,,British,B-gpe,,,,,,,,,,,,,,
8892,NNS,406,,citizens,O,,,,,,,,,,,,,,
8893,TO,406,,to,O,,,,,,,,,,,,,,
8894,VB,406,,avoid,O,,,,,,,,,,,,,,
8895,NN,406,,travel,O,,,,,,,,,,,,,,
8896,IN,406,,to,O,,,,,,,,,,,,,,
8897,NNP,406,,Khartoum,B-geo,,,,,,,,,,,,,,
8898,.,406,,.,O,,,,,,,,,,,,,,
8899,JJ,407,,Kenyan,B-gpe,,,,,,,,,,,,,,
8900,NNS,407,,police,O,,,,,,,,,,,,,,
8901,VBP,407,,have,O,,,,,,,,,,,,,,
8902,VBN,407,,opened,O,,,,,,,,,,,,,,
8903,NN,407,,fire,O,,,,,,,,,,,,,,
8904,IN,407,,at,O,,,,,,,,,,,,,,
8905,NNS,407,,hundreds,O,,,,,,,,,,,,,,
8906,IN,407,,of,O,,,,,,,,,,,,,,
8907,NNS,407,,people,O,,,,,,,,,,,,,,
8908,VBG,407,,demonstrating,O,,,,,,,,,,,,,,
8909,IN,407,,against,O,,,,,,,,,,,,,,
8910,NNS,407,,cartoons,O,,,,,,,,,,,,,,
8911,VBG,407,,depicting,O,,,,,,,,,,,,,,
8912,DT,407,,the,O,,,,,,,,,,,,,,
8913,NNP,407,,Prophet,B-per,,,,,,,,,,,,,,
8914,NNP,407,,Muhammad,I-per,,,,,,,,,,,,,,
8915,",",407,,",",O,,,,,,,,,,,,,,
8916,IN,407,,as,O,,,,,,,,,,,,,,
8917,NNS,407,,protests,O,,,,,,,,,,,,,,
8918,IN,407,,across,O,,,,,,,,,,,,,,
8919,DT,407,,the,O,,,,,,,,,,,,,,
8920,NNP,407,,Muslim,B-org,,,,,,,,,,,,,,
8921,NN,407,,world,O,,,,,,,,,,,,,,
8922,VBD,407,,showed,O,,,,,,,,,,,,,,
8923,DT,407,,no,O,,,,,,,,,,,,,,
8924,NNS,407,,signs,O,,,,,,,,,,,,,,
8925,IN,407,,of,O,,,,,,,,,,,,,,
8926,VBG,407,,abating,O,,,,,,,,,,,,,,
8927,.,407,,.,O,,,,,,,,,,,,,,
8928,IN,408,,At,O,,,,,,,,,,,,,,
8929,JJS,408,,least,O,,,,,,,,,,,,,,
8930,CD,408,,one,O,,,,,,,,,,,,,,
8931,NN,408,,Kenyan,B-gpe,,,,,,,,,,,,,,
8932,VBD,408,,was,O,,,,,,,,,,,,,,
8933,VBN,408,,wounded,O,,,,,,,,,,,,,,
8934,NNP,408,,Friday,B-tim,,,,,,,,,,,,,,
8935,WRB,408,,when,O,,,,,,,,,,,,,,
8936,NNS,408,,protesters,O,,,,,,,,,,,,,,
8937,VBD,408,,tried,O,,,,,,,,,,,,,,
8938,TO,408,,to,O,,,,,,,,,,,,,,
8939,VB,408,,march,O,,,,,,,,,,,,,,
8940,IN,408,,on,O,,,,,,,,,,,,,,
8941,DT,408,,the,O,,,,,,,,,,,,,,
8942,JJ,408,,Danish,B-gpe,,,,,,,,,,,,,,
8943,NN,408,,embassy,O,,,,,,,,,,,,,,
8944,IN,408,,in,O,,,,,,,,,,,,,,
8945,NNP,408,,Nairobi,B-geo,,,,,,,,,,,,,,
8946,",",408,,",",O,,,,,,,,,,,,,,
8947,VBG,408,,shouting,O,,,,,,,,,,,,,,
8948,JJ,408,,anti-Denmark,O,,,,,,,,,,,,,,
8949,NNS,408,,slogans,O,,,,,,,,,,,,,,
8950,CC,408,,and,O,,,,,,,,,,,,,,
8951,VBG,408,,burning,O,,,,,,,,,,,,,,
8952,JJ,408,,Danish,B-gpe,,,,,,,,,,,,,,
8953,NNS,408,,flags,O,,,,,,,,,,,,,,
8954,.,408,,.,O,,,,,,,,,,,,,,
8955,NNS,409,,Muslims,O,,,,,,,,,,,,,,
8956,RB,409,,also,O,,,,,,,,,,,,,,
8957,VBD,409,,demonstrated,O,,,,,,,,,,,,,,
8958,NNP,409,,Friday,B-tim,,,,,,,,,,,,,,
8959,IN,409,,in,O,,,,,,,,,,,,,,
8960,NNS,409,,cities,O,,,,,,,,,,,,,,
8961,IN,409,,across,O,,,,,,,,,,,,,,
8962,DT,409,,the,O,,,,,,,,,,,,,,
8963,NNP,409,,Middle,B-geo,,,,,,,,,,,,,,
8964,NNP,409,,East,I-geo,,,,,,,,,,,,,,
8965,RB,409,,as,O,,,,,,,,,,,,,,
8966,RB,409,,well,O,,,,,,,,,,,,,,
8967,IN,409,,as,O,,,,,,,,,,,,,,
8968,IN,409,,in,O,,,,,,,,,,,,,,
8969,NNP,409,,India,B-geo,,,,,,,,,,,,,,
8970,",",409,,",",O,,,,,,,,,,,,,,
8971,NNP,409,,Pakistan,B-geo,,,,,,,,,,,,,,
8972,",",409,,",",O,,,,,,,,,,,,,,
8973,NNP,409,,Afghanistan,B-geo,,,,,,,,,,,,,,
8974,",",409,,",",O,,,,,,,,,,,,,,
8975,NNP,409,,Bangladesh,B-geo,,,,,,,,,,,,,,
8976,",",409,,",",O,,,,,,,,,,,,,,
8977,NNP,409,,Malaysia,B-geo,,,,,,,,,,,,,,
8978,",",409,,",",O,,,,,,,,,,,,,,
8979,CC,409,,and,O,,,,,,,,,,,,,,
8980,NNP,409,,Venezuela,B-geo,,,,,,,,,,,,,,
8981,.,409,,.,O,,,,,,,,,,,,,,
8982,IN,410,,In,O,,,,,,,,,,,,,,
8983,NNP,410,,France,B-geo,,,,,,,,,,,,,,
8984,",",410,,",",O,,,,,,,,,,,,,,
8985,DT,410,,a,O,,,,,,,,,,,,,,
8986,NNP,410,,Muslim,B-org,,,,,,,,,,,,,,
8987,NN,410,,organization,O,,,,,,,,,,,,,,
8988,IN,410,,-,O,,,,,,,,,,,,,,
8989,DT,410,,the,O,,,,,,,,,,,,,,
8990,JJ,410,,French,B-gpe,,,,,,,,,,,,,,
8991,NN,410,,Council,B-org,,,,,,,,,,,,,,
8992,IN,410,,of,O,,,,,,,,,,,,,,
